Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,"COVID-19 deaths per 100,000 population in 2020",Median age,Index of institutional trust,Gini coefficient of income,"Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
Afghanistan,2019,2.375,7.697,0.42,52.4,0.39399999999999996,-0.10800000000000001,0.924,0.35100000000000003,0.502,5.627999999999999,18.6,0.046,31.0,
Albania,2019,4.995,9.544,0.6859999999999999,69.0,0.777,-0.099,0.914,0.6809999999999999,0.27399999999999997,41.038000000000004,38.0,0.15,28.96,
Algeria,2019,4.745,9.337,0.8029999999999999,66.1,0.385,0.005,0.741,0.585,0.215,6.285,29.1,0.415,27.62,
Argentina,2019,6.086,10.0,0.8959999999999999,69.0,0.8170000000000001,-0.21100000000000002,0.83,0.826,0.319,95.684,31.9,0.091,39.6,
Armenia,2019,5.4879999999999995,9.522,0.782,67.2,0.8440000000000001,-0.172,0.583,0.598,0.43,95.26799999999999,35.7,0.174,33.62,302.30400000000003
Australia,2019,7.234,10.815,0.943,73.9,0.9179999999999999,0.121,0.43,0.77,0.20199999999999999,3.565,37.9,0.335,33.0,
Austria,2019,7.195,10.939,0.9640000000000001,73.3,0.903,0.06,0.457,0.774,0.205,69.084,44.4,0.358,26.8,110.821
Azerbaijan,2019,5.172999999999999,9.575,0.887,65.8,0.8540000000000001,-0.214,0.457,0.643,0.16399999999999998,26.048000000000002,32.4,0.35200000000000004,26.6,185.609
Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,,0.762,0.317,20.686999999999998,32.4,0.48700000000000004,59.6,
Bangladesh,2019,5.114,8.467,0.6729999999999999,64.8,0.902,-0.051,0.6559999999999999,0.537,0.369,4.59,27.5,0.5770000000000001,43.973,
Belarus,2019,5.821000000000001,9.86,0.917,66.4,0.657,-0.18600000000000003,0.546,0.591,0.19,15.07,40.3,0.242,25.44,
Belgium,2019,6.772,10.853,0.884,72.2,0.7759999999999999,-0.172,0.672,0.733,0.244,168.49599999999998,41.8,0.303,25.6,169.894
