,Country name,2019 year,2019 Life Ladder,2019 Log GDP per capita,2019 Social support,2019 Healthy life expectancy at birth,2019 Freedom to make life choices,2019 Generosity,2019 Perceptions of corruption,2019 Positive affect,2019 Negative affect,Population 2020,Population 2019,"COVID-19 deaths per 100,000 population in 2020",Median age,Island,Index of exposure to COVID-19  infections in other countries as of March 31,Log of average distance to SARS countries,WHO Western Pacific Region,Female head of government,Index of institutional trust,Gini coefficient of income,"All-cause death count, 2017","All-cause death count, 2018","All-cause death count, 2019","All-cause death count, 2020","Excess deaths in 2020 per 100,000 population, relative to 2017-2019 average"
0,Afghanistan,2019,2.375,7.697,0.42,52.4,0.39399999999999996,-0.10800000000000001,0.924,0.35100000000000003,0.502,38928341.0,38041754.0,5.627999999999999,18.6,0.0,1.107,8.623,0.0,0.0,0.046,31.0,,,,,
1,Albania,2019,4.995,9.544,0.6859999999999999,69.0,0.777,-0.099,0.914,0.6809999999999999,0.27399999999999997,2877800.0,2854191.0,41.038000000000004,38.0,0.0,3.0580000000000003,9.036,0.0,0.0,0.15,28.96,,,,,
2,Algeria,2019,4.745,9.337,0.8029999999999999,66.1,0.385,0.005,0.741,0.585,0.215,43851043.0,43053054.0,6.285,29.1,0.0,2.9330000000000003,9.158999999999999,0.0,0.0,0.415,27.62,,,,,
3,Argentina,2019,6.086,10.0,0.8959999999999999,69.0,0.8170000000000001,-0.21100000000000002,0.83,0.826,0.319,45195777.0,44938712.0,95.684,31.9,0.0,0.5489999999999999,9.717,0.0,0.0,0.091,39.6,,,,,
4,Armenia,2019,5.4879999999999995,9.522,0.782,67.2,0.8440000000000001,-0.172,0.583,0.598,0.43,2963234.0,2957731.0,95.26799999999999,35.7,0.0,1.7619999999999998,8.857999999999999,0.0,0.0,0.174,33.62,27367.0,25645.0,26252.0,35371.0,302.30400000000003
5,Australia,2019,7.234,10.815,0.943,73.9,0.9179999999999999,0.121,0.43,0.77,0.20199999999999999,25499881.0,25364307.0,3.565,37.9,1.0,0.405,9.102,1.0,0.0,0.335,33.0,,,,,
6,Austria,2019,7.195,10.939,0.9640000000000001,73.3,0.903,0.06,0.457,0.774,0.205,9006400.0,8877067.0,69.084,44.4,0.0,4.315,9.023,0.0,0.0,0.358,26.8,81311.0,82063.0,81557.0,91553.0,110.821
7,Azerbaijan,2019,5.172999999999999,9.575,0.887,65.8,0.8540000000000001,-0.214,0.457,0.643,0.16399999999999998,10139175.0,10023318.0,26.048000000000002,32.4,0.0,1.7519999999999998,8.81,0.0,0.0,0.35200000000000004,26.6,57109.0,57250.0,56447.0,75647.0,185.609
8,Bahrain,2019,7.098,10.715,0.878,69.3,0.907,0.048,,0.762,0.317,1701583.0,1641172.0,20.686999999999998,32.4,1.0,1.6669999999999998,8.852,0.0,0.0,0.48700000000000004,59.6,,,,,
9,Bangladesh,2019,5.114,8.467,0.6729999999999999,64.8,0.902,-0.051,0.6559999999999999,0.537,0.369,164689383.0,163046161.0,4.59,27.5,0.0,0.8240000000000001,8.349,0.0,1.0,0.5770000000000001,43.973,,,,,
10,Belarus,2019,5.821000000000001,9.86,0.917,66.4,0.657,-0.18600000000000003,0.546,0.591,0.19,9449321.0,9466856.0,15.07,40.3,0.0,2.377,8.935,0.0,0.0,0.242,25.44,,,,,
11,Belgium,2019,6.772,10.853,0.884,72.2,0.7759999999999999,-0.172,0.672,0.733,0.244,11589616.0,11484055.0,168.49599999999998,41.8,0.0,6.343,9.071,0.0,0.0,0.303,25.6,109278.0,110341.0,108436.0,128952.0,169.894
12,Benin,2019,4.976,8.097999999999999,0.442,54.7,0.77,-0.016,0.698,0.659,0.441,12123198.0,11801151.0,0.363,18.8,0.0,0.971,9.318999999999999,0.0,0.0,0.39799999999999996,47.76,,,,,
13,Bolivia,2019,5.6739999999999995,9.074,0.784,63.9,0.8809999999999999,-0.086,0.857,0.7509999999999999,0.419,11673029.0,11513100.0,78.514,25.4,0.0,0.609,9.726,0.0,0.0,0.10099999999999999,43.8,,,,,
14,Bosnia and Herzegovina,2019,6.016,9.609,0.873,68.1,0.722,0.079,0.963,0.633,0.23800000000000002,3280815.0,3301000.0,123.445,42.5,0.0,3.509,9.032,0.0,0.0,0.064,33.03,,,,,
15,Botswana,2019,3.471,9.785,0.774,59.6,0.833,-0.239,0.792,0.7120000000000001,0.273,2351625.0,2303697.0,1.786,25.8,0.0,0.628,9.307,0.0,0.0,0.435,53.33,,,,,
16,Brazil,2019,6.4510000000000005,9.592,0.899,66.6,0.83,-0.062,0.762,0.7609999999999999,0.337,212559409.0,211049527.0,91.715,33.5,0.0,0.657,9.666,0.0,0.0,0.115,54.0,1312663.0,1316719.0,1349802.0,1571383.0,115.667
17,Bulgaria,2019,5.1080000000000005,10.047,0.948,67.0,0.8220000000000001,-0.109,0.943,0.6629999999999999,0.2,6948445.0,6975761.0,109.03200000000001,44.7,0.0,2.6919999999999997,9.007,0.0,0.0,0.073,39.6,109330.0,108247.0,107849.0,126525.0,259.256
18,Burkina Faso,2019,4.7410000000000005,7.691,0.6829999999999999,54.4,0.6779999999999999,-0.004,0.7290000000000001,0.691,0.365,20903278.0,20321378.0,0.40700000000000003,17.6,0.0,1.092,9.318,0.0,0.0,0.359,35.3,,,,,
19,Cambodia,2019,4.998,8.387,0.759,62.0,0.9570000000000001,0.013000000000000001,0.828,0.8440000000000001,0.39,16718971.0,16486542.0,0.0,25.6,0.0,0.7140000000000001,8.256,1.0,0.0,0.498,36.0,,,,,
